,month,repository_name,repository_url,new_stars,repository_created_at,repository_language,t_stars
144,2013-05,two.js,https://github.com/jonobr1/two.js,1722,2012-09-05 23:19:40,JavaScript,1972.0
145,2013-05,topcoat,https://github.com/topcoat/topcoat,1650,2012-11-01 15:12:16,JavaScript,2256.0
146,2013-05,pdf2htmlEX,https://github.com/coolwanglu/pdf2htmlEX,1516,2012-08-04 17:59:25,C++,2356.0
147,2013-05,stringer,https://github.com/swanson/stringer,1450,2013-04-06 04:51:27,Ruby,1497.0
148,2013-05,xctool,https://github.com/facebook/xctool,1426,2013-04-24 05:18:44,Objective-C,1532.0
149,2013-05,polymer,https://github.com/Polymer/polymer,1364,2012-08-23 20:56:30,JavaScript,1503.0
150,2013-04,chardin.js,https://github.com/heelhook/chardin.js,2730,2013-04-01 02:58:47,CoffeeScript,2932.0
151,2013-04,helios,https://github.com/helios-framework/helios,2243,2013-04-02 17:39:09,Ruby,2567.0
152,2013-04,bootstrap-wysiwyg,https://github.com/mindmup/bootstrap-wysiwyg,2163,2013-04-04 19:54:42,JavaScript,2467.0
153,2013-04,csscss,https://github.com/zmoazeni/csscss,2048,2013-03-01 23:17:25,Ruby,2209.0
154,2013-04,verlet-js,https://github.com/subprotocol/verlet-js,1974,2013-04-10 07:22:41,JavaScript,2103.0
155,2013-04,bootstrap,https://github.com/twitter/bootstrap,1943,2011-07-29 21:19:00,JavaScript,49357.0
156,2013-04,Snap.js,https://github.com/jakiestfu/Snap.js,1717,2013-04-01 23:57:34,JavaScript,1802.0
157,2013-04,rendr,https://github.com/airbnb/rendr,1394,2012-10-31 19:24:35,CoffeeScript,1532.0
158,2013-04,log,https://github.com/adamschwartz/log,1354,,,
159,2013-04,responsive-nav.js,https://github.com/viljamis/responsive-nav.js,1203,2013-03-05 18:27:06,JavaScript,1384.0
160,2013-03,Flat-UI,https://github.com/designmodo/Flat-UI,3883,,,
161,2013-03,jQuery-menu-aim,https://github.com/kamens/jQuery-menu-aim,3705,2013-03-03 02:50:35,JavaScript,4280.0
162,2013-03,intro.js,https://github.com/usablica/intro.js,3675,2013-03-10 15:12:45,JavaScript,4230.0
163,2013-03,Chart.js,https://github.com/nnnick/Chart.js,3471,2013-03-17 23:56:36,JavaScript,3138.0
164,2013-03,bootstrap,https://github.com/twitter/bootstrap,2299,2011-07-29 21:19:00,JavaScript,47649.0
165,2013-03,huginn,https://github.com/cantino/huginn,2142,2013-03-10 06:00:31,Ruby,2469.0
166,2013-03,dashing,https://github.com/Shopify/dashing,1526,2012-07-18 21:01:40,JavaScript,3585.0
167,2013-03,pixi.js,https://github.com/GoodBoyDigital/pixi.js,1414,2013-01-21 22:40:50,JavaScript,1519.0
168,2013-03,NewsBlur,https://github.com/samuelclay/NewsBlur,1308,2009-01-05 14:00:43,Python,2284.0
169,2013-03,linuxgems,https://github.com/WilliamHackmore/linuxgems,1246,2012-08-14 09:21:37,Shell,1288.0
170,2013-02,discourse,https://github.com/discourse/discourse,3492,2013-01-12 00:25:55,JavaScript,4432.0
171,2013-02,flight,https://github.com/twitter/flight,2548,2013-01-30 19:59:30,JavaScript,3395.0
172,2013-02,typeahead.js,https://github.com/twitter/typeahead.js,2293,2013-02-19 19:45:01,JavaScript,2519.0
173,2013-02,bootstrap,https://github.com/twitter/bootstrap,1871,2011-07-29 21:19:00,JavaScript,45598.0
174,2013-02,hint.css,https://github.com/chinchang/hint.css,1654,,,
175,2013-02,dropzone,https://github.com/enyo/dropzone,1558,2012-02-12 16:19:18,CoffeeScript,1949.0
176,2013-02,Redacted-Font,https://github.com/christiannaths/Redacted-Font,1289,2013-02-07 08:26:31,null,1423.0
177,2013-02,YouCompleteMe,https://github.com/Valloric/YouCompleteMe,1100,2012-04-16 03:12:14,C++,1149.0
